testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
Android_Launch,Given I Open the browser to go to default application,NA,NA,openbrowser,onboarding,"AndroidNative, AndroidPhonePortraitNative, AndroidTabletPortraitNative, AndroidTabletLandscapeNative",
,Wait for the mentioned element,OnBoadringActivity,Next,verifyObjectPresent,,,
,click Next Button,OnBoadringActivity,Next,clickObject,,,
,Enter First Name,OnBoadringActivity,FirstName,enterData,Shankar,,
,Enter Last Name,OnBoadringActivity,LastName,enterData,Garg,,
,Enter Email,OnBoadringActivity,Email,enterData,sssss,,
,Enter password,OnBoadringActivity,password,enterData,simple,,
,click Signup Button,OnBoadringActivity,SignupButton,clickObject,,,
,click Later,OnBoadringActivity,Later,clickObject,,,
,click on Next,AndroidNativeOnboardingActivity,Later,clickObject,,,
,Verify OnBoardingTitle Text Screen 2,AndroidNativeOnboardingActivity,OnBoardingTitle,verifytextpresent,Watch Ready,,
,Verify OnBoardingDescription Text on Screen 2,AndroidNativeOnboardingActivity,OnBoardingDescription,verifytextpresent,A breakthrough in breaking news,,
,Verify Next Text on Screen 2,AndroidNativeOnboardingActivity,Next,verifytextpresent,NEXT,,
,Verify OnBoardingPageIndicator is present on Screen 2,AndroidNativeOnboardingActivity,OnBoardingPageIndicator,verifyObjectPresent,,,
,Verify Animation Container is present on Screen 2,AndroidNativeOnboardingActivity,AnimationContainer,verifyObjectPresent,,,
,close application,NA,NA,closeAllBrowsers,,,
